campaign,index,run_id,archive,directory,job_id,lr,beta1,beta2,seed,loss,seconds
lr_beta2,0,packed4-lr0.008-beta2-0.999-seed42,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.008-beta2-0.999-seed42,2310341_0,0.008,0.9,0.999,42,3.7234530852390364,433.4303511090111
lr_beta2,1,packed4-lr0.0024-beta2-0.95-seed42,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.95-seed42,2310342_1,0.0024,0.9,0.95,42,3.676228122755323,437.28204703808296
lr_beta2,2,packed4-lr0.0024-beta2-0.95-seed43,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.95-seed43,2310342_2,0.0024,0.9,0.95,43,3.6785474637799767,438.8152441410348
lr_beta2,3,packed4-lr0.0024-beta2-0.95-seed44,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.95-seed44,2310342_3,0.0024,0.9,0.95,44,3.675365285907101,440.2194169500144
lr_beta2,4,packed4-lr0.0024-beta2-0.98-seed42,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.98-seed42,2310342_4,0.0024,0.9,0.98,42,3.6534017137247474,438.44717232405674
lr_beta2,5,packed4-lr0.0024-beta2-0.98-seed43,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.98-seed43,2310342_5,0.0024,0.9,0.98,43,3.664271708843947,451.72488235507626
lr_beta2,6,packed4-lr0.0024-beta2-0.98-seed44,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.98-seed44,2310342_6,0.0024,0.9,0.98,44,3.6577845512132185,440.76565589604434
lr_beta2,7,packed4-lr0.0024-beta2-0.999-seed42,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.999-seed42,2310342_7,0.0024,0.9,0.999,42,3.636535113497538,499.4817174329946
lr_beta2,8,packed4-lr0.0024-beta2-0.999-seed43,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.999-seed43,2310342_8,0.0024,0.9,0.999,43,3.6364947245042725,443.55365887098014
lr_beta2,9,packed4-lr0.0024-beta2-0.999-seed44,runs/packed4-20m-batch128k-micro32-20260911,experiments/packed4-lr0.0024-beta2-0.999-seed44,2310342_9,0.0024,0.9,0.999,44,3.640781263002101,436.9372191700386
