index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
176,packed8-awc-lr0.0112-beta1-0.95-beta2-0.99-seed44,2318595_176,0.0112,0.95,0.99,44,3.61258914125434,453.8488664209144,325.7258443259634,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.95-beta2-0.99-seed44
177,packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed42,2318595_177,0.0112,0.95,0.999,42,3.6239156768982217,435.4040082290303,310.74265176418703,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed42
178,packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed43,2318595_178,0.0112,0.95,0.999,43,3.6173499469534227,449.6562845769804,322.40193160274066,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed43
179,packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed44,2318595_179,0.0112,0.95,0.999,44,3.6573513322246827,449.3254904219648,320.8344829889247,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.95-beta2-0.999-seed44
180,packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed42,2318595_180,0.0112,0.975,0.95,42,3.726736542310178,446.6636679030489,319.4165309923701,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed42
181,packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed43,2318595_181,0.0112,0.975,0.95,43,3.7328340460926928,442.2564854050288,317.7448183762608,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed43
182,packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed44,2318595_182,0.0112,0.975,0.95,44,3.7514251005553603,447.2100950360764,320.99729770980775,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.95-seed44
183,packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed42,2318595_183,0.0112,0.975,0.98,42,3.669631063891649,448.77493815799244,321.576483767014,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed42
184,packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed43,2318595_184,0.0112,0.975,0.98,43,3.69891914464771,445.2052441961132,320.9158842632314,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed43
185,packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed44,2318595_185,0.0112,0.975,0.98,44,3.6918026091200233,445.0943581640022,319.1940704322187,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.98-seed44
186,packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed42,2318595_186,0.0112,0.975,0.99,42,3.6525244288090883,436.6045884109335,312.0754233127227,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed42
187,packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed43,2318595_187,0.0112,0.975,0.99,43,3.676438703170609,444.6085814470425,316.8445864384994,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed43
188,packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed44,2318595_188,0.0112,0.975,0.99,44,3.6985318566722514,450.0165275919717,318.92008292279206,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.99-seed44
189,packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed42,2318595_189,0.0112,0.975,0.999,42,3.6541179904530408,441.86152556410525,313.3633184338687,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed42
190,packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed43,2318595_190,0.0112,0.975,0.999,43,3.647876691003288,443.90942807588726,320.2377071434166,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed43
191,packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed44,2318595_191,0.0112,0.975,0.999,44,3.698616790524742,435.93997401581146,309.6139361632522,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0112-beta1-0.975-beta2-0.999-seed44
192,packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed42,2318595_192,0.016,0.9,0.95,42,3.7710567834264994,448.3533006210346,316.43790329038166,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed42
193,packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed43,2318595_193,0.016,0.9,0.95,43,3.756113134212653,458.47018654691055,325.7377143094782,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed43
194,packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed44,2318595_194,0.016,0.9,0.95,44,3.7213018842004892,452.1425730979536,325.5346686382545,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.95-seed44
195,packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed42,2318595_195,0.016,0.9,0.98,42,3.767097707106481,451.1092036080081,323.55499249801505,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed42
196,packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed43,2318595_196,0.016,0.9,0.98,43,3.7111486213706866,437.2469716030173,311.6218085254077,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed43
197,packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed44,2318595_197,0.016,0.9,0.98,44,3.74007437745059,438.87803719198564,312.5769288871379,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.98-seed44
198,packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed42,2318595_198,0.016,0.9,0.99,42,3.799426326078418,433.8794658218976,309.9473607216496,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed42
199,packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed43,2318595_199,0.016,0.9,0.99,43,3.7761172912408916,442.1813866789453,315.7471455660416,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed43
200,packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed44,2318595_200,0.016,0.9,0.99,44,3.7517215349146245,444.04382877610624,319.92133821663447,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.99-seed44
201,packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed42,2318595_201,0.016,0.9,0.999,42,4.115338848354777,453.5211903239833,325.5087312106043,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed42
202,packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed43,2318595_202,0.016,0.9,0.999,43,4.042498311703833,433.9218183699995,310.08172884827945,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed43
203,packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed44,2318595_203,0.016,0.9,0.999,44,4.18704940710893,446.6137221750105,319.2731108147418,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.9-beta2-0.999-seed44
204,packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed42,2318595_204,0.016,0.925,0.95,42,3.743715145671856,452.45343599899206,323.4917309151497,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed42
205,packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed43,2318595_205,0.016,0.925,0.95,43,3.7350894319335577,446.7101446730085,318.7700003234204,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed43
206,packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed44,2318595_206,0.016,0.925,0.95,44,3.7428806280602345,448.9329037050484,324.34512167284265,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.95-seed44
