checkpoint,tokens,epoch,step,case,weights_hash,result_key,noise_samples,random_samples,dimension,noise_alignment,normalized_noise_alignment,average_noise_norm,average_batch_gradient_norm,mean_gradient_norm,normalized_random_alignment,consensus_workers,consensus_alignment,normalized_consensus_alignment,average_consensus_norm
epoch-001.safetensors,10207232,1,312,seen,01941744a9b853b9fb338cd39bbc6fd03ee3e4d5ff674f5373ea2542b7b4b958,3f297be699d10ab825e7aa25cb107699182c42082f635e21bc511146ecc52ea9,32,32,20403520,0.07835809724948443,0.2057366936489407,0.6090879985859474,0.6396157869646621,0.20312623346623432,9.06257751064381e-05,4,0.09381971115525747,0.012655575377776342,2.7223291439272588
epoch-001.safetensors,10207232,1,312,unseen,01941744a9b853b9fb338cd39bbc6fd03ee3e4d5ff674f5373ea2542b7b4b958,3f297be699d10ab825e7aa25cb107699182c42082f635e21bc511146ecc52ea9,32,32,20403520,0.07340859023242778,0.1845660308339285,0.6227011362182985,0.6556836322624826,0.20084305489998092,8.283893665663013e-05,4,0.09093208433459407,0.01226605617715422,2.7223291439272588
epoch-005.safetensors,51036160,5,1560,seen,452f709f5ee707004dae55994a2a717aade416ceac50e1f391436a3b040b924f,208c9dacb3768474608c96292e92f2bdf489f4a66560487ffed1c47c3cde0526,32,32,20403520,0.016701777911399016,0.09338604133861006,0.4218685242039936,0.4395918584125181,0.12247582092991258,4.56905097874871e-05,4,0.04693683691595282,0.002066277936518619,4.765352906141429
epoch-005.safetensors,51036160,5,1560,unseen,452f709f5ee707004dae55994a2a717aade416ceac50e1f391436a3b040b924f,208c9dacb3768474608c96292e92f2bdf489f4a66560487ffed1c47c3cde0526,32,32,20403520,0.019059420825300624,0.10439271723859572,0.4254798809414309,0.44282252020569707,0.12172452601829284,4.56561732448652e-05,4,0.04698805567419487,0.002068532715430989,4.765352906141429
epoch-010.safetensors,102072320,10,3120,seen,b19d0c3b738da18fc2810a05c942a260ce95eb5fd3baafb5e28dfc56c886e667,22fc94fb5a6b419f329a89eeb25c412adf021903b043f4bead7d4f5a2a5e2f92,32,32,20403520,0.018277621137015806,0.1126109433122212,0.4022756905241767,0.4155133515671154,0.10447416959067175,4.480074313532602e-05,4,0.037053281307817654,0.0018192923409530524,4.51284984680687
epoch-010.safetensors,102072320,10,3120,unseen,b19d0c3b738da18fc2810a05c942a260ce95eb5fd3baafb5e28dfc56c886e667,22fc94fb5a6b419f329a89eeb25c412adf021903b043f4bead7d4f5a2a5e2f92,32,32,20403520,0.022167813867497468,0.12166925652939202,0.4218814925294113,0.4348776327485204,0.10502612773782617,4.473558144239198e-05,4,0.03699536439415325,0.001816448657648301,4.51284984680687
epoch-015.safetensors,153108480,15,4680,seen,e3ee4dbd87080e22896565b2c9c25684e0779bf7b52f9e9fcff9c6136b73b7dc,214c44af8543824ab35529e2238b4cbc064d91a934a49cfa76b019a166ebc8a5,32,32,20403520,0.030622865002305745,0.17209268095025765,0.4213917171081134,0.4374650734041627,0.12057451347526174,4.965670804754702e-05,4,0.044205290029521706,0.0013942574876635583,5.630424841790362
epoch-015.safetensors,153108480,15,4680,unseen,e3ee4dbd87080e22896565b2c9c25684e0779bf7b52f9e9fcff9c6136b73b7dc,214c44af8543824ab35529e2238b4cbc064d91a934a49cfa76b019a166ebc8a5,32,32,20403520,0.03682684913516086,0.1776301004692862,0.44428221888207164,0.4610333910370492,0.12090159267875361,4.9621954227665076e-05,4,0.04429853250743345,0.001397198403171859,5.630424841790362
epoch-020.safetensors,204144640,20,6240,seen,4dc9fda3ffca4bdfe773081bd6b0dece1ea7165f553144e6a5d9cd859cfe653f,45d5abdd089b39503701e60087425c9d83fc658e86ecd3b2fc4f50d00dd475e4,32,32,20403520,0.04613829196522424,0.2296839471200789,0.44766826336160165,0.4587597157759332,0.1008536152274192,5.8242813119985944e-05,4,0.05752204443473544,0.0011128549238740217,7.187883528963866
epoch-020.safetensors,204144640,20,6240,unseen,4dc9fda3ffca4bdfe773081bd6b0dece1ea7165f553144e6a5d9cd859cfe653f,45d5abdd089b39503701e60087425c9d83fc658e86ecd3b2fc4f50d00dd475e4,32,32,20403520,0.05508879090534342,0.26417363793119486,0.4545515207114405,0.46509374526762826,0.10123434101220577,5.813149504793836e-05,4,0.05774142924748005,0.0011170992700457404,7.187883528963866
