epoch,update_disagreement_rms_norm,largest_update_coordinate_fraction,largest_sqrt_shaped_update_coordinate_fraction,largest_bounded_shaped_update_coordinate_fraction
10,3.3511087804254687,1.0918754643329081e-05,0.004275991623233189,4.461508696914908e-05
15,3.048689973820616,1.0566233037446035e-05,0.0360592676296906,4.5637208967822074e-05
20,2.4604176183763062,9.785247726441593e-06,0.0016115204224501443,3.852102769375291e-05
24,1.4522118169062785,7.437097468659449e-05,0.28794622118040464,0.0003691645976284778
40,0.42577811312423236,9.036406253924592e-06,0.0008383083442664702,3.352972892811788e-05
