worker,parameter,flat_index,residual,v,energy,epoch,error_energy_fraction
0,embedding.weight,3305687,0.010494299232959747,1.8606054474901157e-09,0.00011013031639089954,10,9.276639019606477e-06
1,embedding.weight,2106278,-0.010770192369818687,1.2426982776148066e-09,0.00011599704368290067,10,1.0477496306349767e-05
2,embedding.weight,8021927,-0.010972775518894196,3.5128606690193465e-09,0.00012040180258804378,10,1.0918754299584954e-05
3,embedding.weight,4550279,0.010655917227268219,3.9394677742166095e-08,0.00011354857195439161,10,1.0369998408691707e-05
0,embedding.weight,9564756,0.8498902409337461,0.0004889268893748522,0.722313421634421,15,0.07415735277504563
1,embedding.weight,9564543,-0.8688847571611404,0.0005896257353015244,0.754960721226974,15,0.07345158653504998
2,embedding.weight,9564756,-0.8511951235122979,0.0005068108439445496,0.724533138291116,15,0.07190368004706617
3,embedding.weight,9564543,0.8844865411520004,0.0005341314245015383,0.7823164414790293,15,0.07618439279981942
0,blocks.7.ffn.down_proj.weight,247343,1.6327171325683594,0.0007961838855408132,2.6657652349822456,20,0.2767648030089383
1,blocks.7.ffn.down_proj.weight,247343,-1.6143169403076172,0.0013762474991381168,2.606019183764147,20,0.30868468937677945
2,blocks.7.ffn.down_proj.weight,247343,-1.6534709930419922,0.0012860067654401064,2.7339663248312718,20,0.31055576492392883
3,blocks.7.ffn.down_proj.weight,247343,1.63507080078125,0.0009738878579810262,2.673456523567438,20,0.3096014620872915
0,blocks.7.ffn.gate_proj.weight,15315,1.5591960698366165,0.0037947464734315872,2.431092384193951,24,0.5410757579788779
1,embedding.weight,9564575,1.1705053597688675,0.0005109483026899397,1.370082797247646,24,0.3052737327641247
2,blocks.7.ffn.gate_proj.weight,15315,-1.391897365450859,0.0030430301558226347,1.9373782759490423,24,0.5105812075881416
3,embedding.weight,9564575,-1.6606204360723495,0.0007455579470843077,2.75766023270112,24,0.39343130435186685
0,blocks.7.ffn.up_proj.weight,198035,3.4693564772605896,0.003074547741562128,12.036434366310008,40,0.9465519349766235
1,blocks.7.ffn.gate_proj.weight,198035,0.6617584228515625,0.0014850788284093142,0.4379242102149874,40,0.6997938217896706
2,blocks.7.ffn.gate_proj.weight,198035,0.6449432373046875,0.001778890611603856,0.41595177934505045,40,0.7005350430219055
3,blocks.7.ffn.up_proj.weight,198035,-3.4596737027168274,0.0023650070652365685,11.969342129270363,40,0.9566187142346816
