epoch,tokens,case,direction,alignment,normalized_alignment,average_norm
1,10207232,seen,delta,0.09381902843749887,0.012655483284217967,2.722329143933122
1,10207232,seen,delta_div_m,5798334504907.541,4.640828952857789e-06,1073811440.7705784
1,10207232,seen,delta_mul_m,2.6202417001706677e-11,0.000666727914688156,0.0001963542596096515
1,10207232,seen,delta_div_v,1.2525597301636037e+18,8.70208473138005e-06,378129649942.879
1,10207232,seen,delta_mul_v,1.2057684186583346e-14,0.6355963706783457,1.3744957900464826e-07
1,10207232,seen,delta_div_sqrt_v,36297782.28762109,0.0002689167846705761,367164.9232649276
1,10207232,seen,delta_mul_sqrt_v,3.105882431857481e-09,0.0714723180638855,0.00020831730138713868
1,10207232,unseen,delta,0.09093170918522955,0.01226600557226705,2.722329143933122
1,10207232,unseen,delta_div_m,4111501603869.2524,3.290733859319129e-06,1073811440.7705784
1,10207232,unseen,delta_mul_m,2.4429387414146516e-11,0.0006216126751468041,0.0001963542596096515
1,10207232,unseen,delta_div_v,9.953370382324978e+17,6.91504527440678e-06,378129649942.879
1,10207232,unseen,delta_mul_v,1.2077598845553996e-14,0.6366461315419722,1.3744957900464826e-07
1,10207232,unseen,delta_div_sqrt_v,35107694.02278839,0.0002600998628234764,367164.9232649276
1,10207232,unseen,delta_mul_sqrt_v,3.043244282143776e-09,0.07003089397347208,0.00020831730138713868
5,51036160,seen,delta,0.04693669824950321,0.0020662718320726887,4.765352906140188
5,51036160,seen,delta_div_m,33063047294697.996,5.464470698952462e-07,7288267480.386749
5,51036160,seen,delta_mul_m,7.131987078595934e-11,0.0009728874316108719,0.0002695887762154398
5,51036160,seen,delta_div_v,2.6293038705153567e+18,1.7154012559603148e-06,1237041092484.5571
5,51036160,seen,delta_mul_v,6.00192624655735e-13,1.3447319042648955,6.565833632974253e-07
5,51036160,seen,delta_div_sqrt_v,6454561.272280022,1.774805538707667e-05,600909.5915961189
5,51036160,seen,delta_mul_sqrt_v,1.2945649747901339e-08,0.05285713961728796,0.0004945369727656754
5,51036160,unseen,delta,0.04698794155605758,0.002068527691663679,4.765352906140188
5,51036160,unseen,delta_div_m,28357679682066.773,4.6867945453346904e-07,7288267480.386749
5,51036160,unseen,delta_mul_m,7.11455128249319e-11,0.0009705089827015353,0.0002695887762154398
5,51036160,unseen,delta_div_v,2.584390310259082e+18,1.686098907708661e-06,1237041092484.5571
5,51036160,unseen,delta_mul_v,5.986182425460811e-13,1.3412045002859314,6.565833632974253e-07
5,51036160,unseen,delta_div_sqrt_v,6412645.356599461,1.763279952975086e-05,600909.5915961189
5,51036160,unseen,delta_mul_sqrt_v,1.294490327830509e-08,0.05285409177894555,0.0004945369727656754
10,102072320,seen,delta,0.037053304762660284,0.0018192934925703441,4.512849846807432
10,102072320,seen,delta_div_m,26842817866703.74,1.0002659038827134e-06,5103588606.9858465
10,102072320,seen,delta_mul_m,9.722419586309354e-11,0.0022556985938543958,0.00020735379979475822
10,102072320,seen,delta_div_v,3.6277059940620856e+18,4.2883244040712376e-07,2892388048659.821
10,102072320,seen,delta_mul_v,9.368383232387375e-13,1.609783565898004,7.610296507588389e-07
10,102072320,seen,delta_div_sqrt_v,4905952.780898652,1.118245009999217e-05,661760.087812791
10,102072320,seen,delta_mul_sqrt_v,9.513269089806303e-09,0.045475007588853644,0.00045736312026880394
10,102072320,unseen,delta,0.036995347163279235,0.0018164478116230078,4.512849846807432
10,102072320,unseen,delta_div_m,26640032708319.594,9.927093544640803e-07,5103588606.9858465
10,102072320,unseen,delta_mul_m,9.696834683164121e-11,0.0022497626404082115,0.00020735379979475822
10,102072320,unseen,delta_div_v,3.322195472712328e+18,3.927179309471747e-07,2892388048659.821
10,102072320,unseen,delta_mul_v,9.330354421153506e-13,1.603249017317275,7.610296507588389e-07
