checkpoint,tokens,epoch,step,case,weights_hash,result_key,noise_samples,random_samples,dimension,noise_alignment,normalized_noise_alignment,average_noise_norm,average_batch_gradient_norm,mean_gradient_norm,normalized_random_alignment,consensus_workers,consensus_alignment,normalized_consensus_alignment,average_consensus_norm
epoch-001.safetensors,10207232,1,312,seen,a44451476a353eb5f201c9f53ab77a4e1bdc1229c34ce30215c8cee6a162afeb,012d5dd5ba754d69ad61951fb5b1ca9ee892646d413d96d33d1e6f3b856deba0,32,32,20403520,0.08534411534831206,0.21168502536125353,0.6262791558635364,0.6662623838380703,0.2385722793165035,8.899787084034465e-05,4,0.08634652823006571,0.011467714761289657,2.7433736018784716
epoch-001.safetensors,10207232,1,312,unseen,a44451476a353eb5f201c9f53ab77a4e1bdc1229c34ce30215c8cee6a162afeb,012d5dd5ba754d69ad61951fb5b1ca9ee892646d413d96d33d1e6f3b856deba0,32,32,20403520,0.0866145495703295,0.21186777957865924,0.6272127499608853,0.663674917153748,0.22579723409829489,8.279006298372071e-05,4,0.08409496853142186,0.011168684274235605,2.7433736018784716
epoch-005.safetensors,51036160,5,1560,seen,15c83b84372b12873b8b34f3e8642763d2564bd80d62f0ce7c137d6146c0077a,5904661a20f8b392bed29e6fd181a27225a840786d96564f8fc9c28da708e8d9,32,32,20403520,0.017410108730744615,0.09910624723266238,0.4173539903103884,0.4371075899658469,0.13321915866852269,4.480415700288339e-05,4,0.0481614621287825,0.0020939218497948307,4.7952033277802455
epoch-005.safetensors,51036160,5,1560,unseen,15c83b84372b12873b8b34f3e8642763d2564bd80d62f0ce7c137d6146c0077a,5904661a20f8b392bed29e6fd181a27225a840786d96564f8fc9c28da708e8d9,32,32,20403520,0.019233209849693535,0.10599654869433804,0.42356256249198293,0.44320846907005185,0.1312758576656658,4.476549574434866e-05,4,0.0483617875785515,0.0021026314241682094,4.7952033277802455
epoch-010.safetensors,102072320,10,3120,seen,f4b10595b7a43f91385ddf5f244f704d0ad0ed2066bd485af8abbdc0823754a6,2467dc45ed88289b568eaaceb2e422a21b27274deef458c656f037fb1f036fec,32,32,20403520,0.016104305371333897,0.10343008200341547,0.3939306172492594,0.4072345272625875,0.10565828701784766,4.377690158623202e-05,4,0.03888993887569683,0.001874139034837667,4.554874728865198
epoch-010.safetensors,102072320,10,3120,unseen,f4b10595b7a43f91385ddf5f244f704d0ad0ed2066bd485af8abbdc0823754a6,2467dc45ed88289b568eaaceb2e422a21b27274deef458c656f037fb1f036fec,32,32,20403520,0.020663014664889505,0.12184289936711111,0.40930727347521795,0.42341103311560624,0.10672554687045731,4.375706887614175e-05,4,0.03874324528262916,0.0018670697465621709,4.554874728865198
epoch-015.safetensors,153108480,15,4680,seen,ecbb2719bd6277fc1331128518312034844aa6fe16eaf280d75490ebd8ce478e,ccd0ac29191ef581bc631ef627473469d66b89f1d46774c573f60d4c6cd2d857,32,32,20403520,0.028140221222266438,0.15964980573541662,0.41889712512533683,0.43925921665832635,0.1364268027474535,4.8880920747378575e-05,4,0.033362627056225766,0.001989701578666482,4.0947285163022045
epoch-015.safetensors,153108480,15,4680,unseen,ecbb2719bd6277fc1331128518312034844aa6fe16eaf280d75490ebd8ce478e,ccd0ac29191ef581bc631ef627473469d66b89f1d46774c573f60d4c6cd2d857,32,32,20403520,0.03432052419436392,0.18381511636053458,0.42834870969595107,0.4493445906358994,0.13612556090181632,4.8843725591553326e-05,4,0.033445299123271946,0.0019946320279993894,4.0947285163022045
epoch-020.safetensors,204144640,20,6240,seen,8c1505eab7f412d75f71c35f792b4bc2b58bf6d109aa4e181e9c26dbd4a57376,93e59cc5cdeb0de27269439f5e4f7207da677d771752d5a7889807ab8ea5089b,32,32,20403520,0.04424052441868374,0.22003465241002185,0.4480591197734322,0.46359334187411266,0.1196263225910504,5.9861214910540917e-05,4,0.025677304546403636,0.0022413125353656464,3.383137589833816
epoch-020.safetensors,204144640,20,6240,unseen,8c1505eab7f412d75f71c35f792b4bc2b58bf6d109aa4e181e9c26dbd4a57376,93e59cc5cdeb0de27269439f5e4f7207da677d771752d5a7889807ab8ea5089b,32,32,20403520,0.053214020079945835,0.2507751002581913,0.4586591023017843,0.4721832608808251,0.11902249615968398,5.983909563921806e-05,4,0.025673666662757614,0.002240994992914752,3.383137589833816
