horizon,beta1,beta2,lr,sync,awc8,difference,pairedSD,differenceSeed42,differenceSeed43,differenceSeed44
20,0.95,0.98,0.004,3.556698765636138,3.6256221185743533,0.06892335293821539,0.0011434264262124674,0.06760569207955136,0.06965464983096048,0.06950971690413432
20,0.95,0.98,0.003,3.5607535200769647,3.636710460803709,0.0759569407267442,0.005122338844406071,0.0746188794750795,0.08161551534997757,0.07163642735517417
20,0.95,0.98,0.006,3.5632401564167995,3.6184695102580164,0.055229353841216966,0.005049936585201166,0.06081656859277418,0.050990363123711635,0.05388112980716642
20,0.95,0.999,0.004,3.5671117826270273,3.598206377171588,0.03109459454456065,0.004094326789199813,0.03295963673254887,0.02639979686789351,0.03392435003323868
20,0.95,0.9,0.004,3.5675711783836754,3.678549746340984,0.11097856795730854,0.004366727383232646,0.10617136365342228,0.11469989471059971,0.11206444550790273
20,0.95,0.98,0.008,3.568472040815575,3.6157927299332138,0.04732068911763898,0.003921870406844028,0.049239413079997796,0.042808871470968235,0.04991378280195091
20,0.9,0.98,0.006,3.568825719571572,3.6398445696466655,0.07101885007509345,0.008072879864873603,0.0662282256351876,0.08033939351281205,0.06648893107728115
20,0.95,0.999,0.003,3.5691903441903174,3.6066098498699666,0.037419505679649134,0.00836329060320422,0.028976766871446902,0.04570101680245919,0.037580733365042196
20,0.95,0.98,0.002,3.569788631168317,3.6742099774962704,0.1044213463279533,0.006927134622451271,0.11071461120381176,0.09699904938268977,0.10555037839735792
20,0.95,0.9,0.003,3.571310644788585,3.6902677852934964,0.11895714050491124,0.0028932656929886737,0.11880231611298031,0.11614439553802702,0.12192470986372683
20,0.9,0.98,0.004,3.5713257516192685,3.6575778625839512,0.08625211096468277,0.011686923890302032,0.09773130782456807,0.08665704014935027,0.07436798492012953
20,0.95,0.9,0.006,3.5726387713741605,3.680050087621374,0.10741131624721367,0.004959665240708282,0.10567174149974079,0.1035557793915074,0.11300642785039239
20,0.9,0.98,0.008,3.573613416915214,3.641100671248098,0.06748725433288438,0.007670208537881554,0.0701629803355428,0.05883758808039907,0.07346119458271083
20,0.9,0.9,0.006,3.5747856606512656,3.7292580134199134,0.1544723527686478,0.004847035001062296,0.15014487221655548,0.1535622628029638,0.1597099232864232
20,0.95,0.999,0.002,3.5753698804127048,3.6425086643654923,0.0671387839527875,0.008592938609484556,0.07647379896413753,0.05955893803961754,0.06538361485460609
20,0.95,0.9,0.002,3.5761158519774603,3.711328595168671,0.1352127431912109,0.007406246776297074,0.14109312391083373,0.12689497593695798,0.13765012972583923
20,0.95,0.999,0.006,3.576976036348702,3.593127960885607,0.01615192453690506,0.005942079692511099,0.009967340943389136,0.016670987738443,0.021817444928883933
20,0.9,0.999,0.004,3.5798042481897347,3.617780482256928,0.03797623406719319,0.007419185760240352,0.03822911250557093,0.03043384199510024,0.04526574770090974
20,0.95,0.9,0.008,3.5810848116479477,3.676013767596834,0.09492895594888617,0.0006828300388431363,0.09414950502957264,0.09542163314593655,0.09521572967114977
20,0.9,0.9,0.004,3.582076265351548,3.7536970095842257,0.1716207442326776,0.004222163386368274,0.1750820556126662,0.1728634967402347,0.16691668034513318
20,0.9,0.98,0.003,3.5832357813677245,3.6728138737677014,0.08957809239997694,0.005460820550023304,0.08845277728966083,0.09551390643028324,0.08476759347998675
20,0.9,0.9,0.008,3.585790230542006,3.731895900879097,0.14610567033709065,0.004229479428700131,0.14958471161802045,0.14733443203865138,0.1413978673545988
20,0.9,0.9,0.003,3.5881402153144726,3.76875942502429,0.1806192097098176,0.008032929756764893,0.18908237012562124,0.17309990273264209,0.17967535627118858
20,0.9,0.98,0.002,3.5902139011810994,3.7033848576936528,0.11317095651255338,0.0022323623691053287,0.11493319286793069,0.1106606256360938,0.11391905103363698
20,0.9,0.999,0.003,3.592575014428235,3.6363066496541165,0.043731635225881416,0.007244756451162491,0.05074335318590828,0.044177149990965336,0.03627440250077152
20,0.9,0.999,0.006,3.597925708677097,3.608488372597223,0.01056266392012617,0.04023905676835078,0.029082098189647354,0.03820761593927102,-0.03560172236853987
20,0.9,0.999,0.002,3.600229910539466,3.6662959726376187,0.06606606209815258,0.005472128665799596,0.06513633722393308,0.06111835574782454,0.07194349332270233
20,0.9,0.9,0.002,3.602495590842191,3.7932996714881715,0.19080408064598053,0.006478416754387978,0.18702614735040424,0.18710150916422208,0.1982845854233144
20,0.95,0.999,0.008,3.6039802145560977,3.595218705802386,-0.008761508753711844,0.023035154038758256,-0.034129996771957494,-0.003001727419803757,0.010847197930624386
20,0.9,0.999,0.008,3.823773669880571,3.620467074432088,-0.20330659544848295,0.3940593506502968,-0.6580861430354212,0.011259600162663475,0.03690675652730979
40,0.95,0.98,0.004,3.4528001664434735,3.509863744835696,0.057063578392222425,0.0014114464537786115,0.057813396210690815,0.055435469171300156,0.05794186979467586
40,0.95,0.98,0.003,3.4532896057274303,3.5136211869706204,0.06033158124319016,0.003391460017765236,0.05866949250101605,0.06423347188394812,0.05809177934460541
40,0.95,0.999,0.003,3.4546716336530547,3.4812509243786214,0.02657929072556664,0.0036606260787993604,0.022771516428121696,0.030072462135701805,0.026893893612876862
