id,method,horizon,beta1,beta2,lr,mean,sd,rank,lossSeed42,lossSeed43,lossSeed44
awc8-wsd-h40--0.003--0.95--0.98,awc8,40,0.95,0.98,0.003,3.5136211869706204,0.004738713667218737,10,3.5088096238591273,3.518283526200785,3.513770410851948
awc8-wsd-h40--0.002--0.9--0.999,awc8,40,0.9,0.999,0.002,3.5284653126607206,0.002481383915346894,11,3.531035744998508,3.526083773394841,3.528276419588812
awc8-wsd-h40--0.006--0.9--0.98,awc8,40,0.9,0.98,0.006,3.530953844302528,0.0035259887440475335,12,3.5283966212746614,3.5349761858346045,3.529488725798317
awc8-wsd-h40--0.004--0.9--0.98,awc8,40,0.9,0.98,0.004,3.5394534772979847,0.004798088370856287,13,3.539456550603085,3.544250028278091,3.5346538530127796
awc8-wsd-h40--0.002--0.95--0.98,awc8,40,0.95,0.98,0.002,3.542217287955111,0.0036325474596736553,14,3.5451323272193713,3.5433717236466116,3.538147812999349
awc8-wsd-h40--0.003--0.9--0.98,awc8,40,0.9,0.98,0.003,3.5502640351623067,0.005373284315416976,15,3.554913063305192,3.5514979037753567,3.544381138406371
awc8-wsd-h40--0.004--0.95--0.9,awc8,40,0.95,0.9,0.004,3.566807359644782,0.006105587197192849,16,3.5598033404702436,3.5696122454449406,3.5710064930191603
awc8-wsd-h40--0.002--0.9--0.98,awc8,40,0.9,0.98,0.002,3.567237326147984,0.009495205384906823,17,3.575773738630764,3.5570104143639076,3.568927825449281
awc8-wsd-h40--0.006--0.95--0.9,awc8,40,0.95,0.9,0.006,3.570613196873801,0.004845620360013417,18,3.56617539654266,3.5698809137446466,3.5757832803340976
awc8-wsd-h40--0.003--0.95--0.9,awc8,40,0.95,0.9,0.003,3.575704275659444,0.0038146572701394173,19,3.5714906390281143,3.576699536579847,3.578922651370372
awc8-wsd-h40--0.002--0.95--0.9,awc8,40,0.95,0.9,0.002,3.5888176008675052,0.0021695139876323705,20,3.587098174154891,3.5880995088563816,3.5912551195912434
awc8-wsd-h40--0.006--0.9--0.9,awc8,40,0.9,0.9,0.006,3.629357977239735,0.0073431072696416915,21,3.6209855104109328,3.6323833602012727,3.6347050611070006
awc8-wsd-h40--0.004--0.9--0.9,awc8,40,0.9,0.9,0.004,3.644773452249172,0.0030162487936838856,22,3.648053087155755,3.64414889483402,3.6421183747577417
awc8-wsd-h40--0.003--0.9--0.9,awc8,40,0.9,0.9,0.003,3.651032926898464,0.010900527364944974,23,3.6621054579254735,3.640312957176013,3.6506803655939053
awc8-wsd-h40--0.002--0.9--0.9,awc8,40,0.9,0.9,0.002,3.6716514155339204,0.010359058978396316,24,3.6792063167065248,3.6598426073959938,3.6759053224992413
awc8-wsd-h80--0.003--0.95--0.999,awc8,80,0.95,0.999,0.003,3.395320425063012,0.004651819163651643,1,3.3901543558150875,3.3991775153865236,3.3966294039874243
awc8-wsd-h80--0.004--0.95--0.999,awc8,80,0.95,0.999,0.004,3.3953356397455514,0.005893466884905683,2,3.389211589365249,3.3958276538213052,3.4009676760500986
awc8-wsd-h80--0.006--0.95--0.999,awc8,80,0.95,0.999,0.006,3.396669448032623,0.002543157379974035,3,3.394842061696633,3.3995739058385386,3.3955923765626985
awc8-wsd-h80--0.002--0.95--0.999,awc8,80,0.95,0.999,0.002,3.413184938496613,0.001393139646422362,4,3.4125951797725493,3.4147759569561096,3.41218367876118
awc8-wsd-h80--0.004--0.9--0.999,awc8,80,0.9,0.999,0.004,3.414192973237734,0.0028404227915924457,5,3.4165495016981873,3.414990330896003,3.4110390871190117
awc8-wsd-h80--0.006--0.9--0.999,awc8,80,0.9,0.999,0.006,3.4159611297740042,0.0005754632844098983,6,3.415323920062671,3.4161165450787174,3.416442924180625
awc8-wsd-h80--0.003--0.9--0.999,awc8,80,0.9,0.999,0.003,3.4195103434586596,0.006229287764818638,7,3.41746784427521,3.4265044628690835,3.4145587232316856
awc8-wsd-h80--0.006--0.95--0.98,awc8,80,0.95,0.98,0.006,3.430464680575099,0.001272301729408543,8,3.429070065939246,3.431562036894717,3.4307619388913335
awc8-wsd-h80--0.004--0.95--0.98,awc8,80,0.95,0.98,0.004,3.4305045963678356,0.0019646234769421134,9,3.4282375474222753,3.4317096205957034,3.431566621085528
awc8-wsd-h80--0.003--0.95--0.98,awc8,80,0.95,0.98,0.003,3.4306098521722994,0.004255595390687482,10,3.425987926326014,3.4343659598054344,3.43147567038545
awc8-wsd-h80--0.002--0.9--0.999,awc8,80,0.9,0.999,0.002,3.4319252411632326,0.0015283085313846157,11,3.433559710226971,3.431684296599056,3.4305317166636695
