campaign,index,run_id,lr,beta1,beta2,seed,scheme,directory,job_id,loss,seconds
beta999,2,packed4-atc-lr0.0024-beta2-0.999-seed43,0.0024,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.999-seed43,2317246_2,3.6267138667416874,442.2799617530545
beta999,3,packed4-atc-lr0.0024-beta2-0.999-seed44,0.0024,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.999-seed44,2317246_3,3.62684586290792,443.7325041029835
beta999,4,packed4-atc-lr0.004-beta2-0.999-seed42,0.004,0.9,0.999,42,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.999-seed42,2317246_4,3.60000966224167,437.74425447999965
beta999,5,packed4-atc-lr0.004-beta2-0.999-seed43,0.004,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.999-seed43,2317246_5,3.603286474494961,443.762149275979
beta999,6,packed4-atc-lr0.004-beta2-0.999-seed44,0.004,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.999-seed44,2317246_6,3.607745250061078,444.6953906370327
beta999,7,packed4-atc-lr0.0056-beta2-0.999-seed42,0.0056,0.9,0.999,42,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.999-seed42,2317246_7,3.5948159386182352,437.0731172579981
beta999,8,packed4-atc-lr0.0056-beta2-0.999-seed43,0.0056,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.999-seed43,2317246_8,3.6048496770291556,443.0206349360524
beta999,9,packed4-atc-lr0.0056-beta2-0.999-seed44,0.0056,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.999-seed44,2317246_9,3.602827320791389,449.39936743397266
beta999,10,packed4-atc-lr0.008-beta2-0.999-seed43,0.008,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.008-beta2-0.999-seed43,2317246_10,3.774273879426971,443.35929809499066
beta999,11,packed4-atc-lr0.008-beta2-0.999-seed44,0.008,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.008-beta2-0.999-seed44,2317246_11,3.7536564984442875,447.8894955969881
beta999,12,packed4-atc-lr0.0112-beta2-0.999-seed42,0.0112,0.9,0.999,42,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0112-beta2-0.999-seed42,2317246_12,4.0483096937708,435.4216909951065
beta999,13,packed4-atc-lr0.0112-beta2-0.999-seed43,0.0112,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0112-beta2-0.999-seed43,2317246_13,3.9470067029021103,434.653593783034
beta999,14,packed4-atc-lr0.0112-beta2-0.999-seed44,0.0112,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.0112-beta2-0.999-seed44,2317246_14,4.20024432917068,440.51164154091384
beta999,15,packed4-atc-lr0.016-beta2-0.999-seed42,0.016,0.9,0.999,42,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.016-beta2-0.999-seed42,2317246_15,4.440730173645417,437.40200502309017
beta999,16,packed4-atc-lr0.016-beta2-0.999-seed43,0.016,0.9,0.999,43,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.016-beta2-0.999-seed43,2317246_16,4.5221865742121405,433.6807243860094
beta999,17,packed4-atc-lr0.016-beta2-0.999-seed44,0.016,0.9,0.999,44,atc,runs/packed4-atc-20m-beta999-lr016-20260911/experiments/packed4-atc-lr0.016-beta2-0.999-seed44,2317246_17,4.524730323608251,420.59779714094475
