lr,beta1,beta2,seeds,mean_loss,std_loss
0.0056,0.9,0.99,3,3.595505878186838,0.003220799589032834
0.0056,0.9,0.98,3,3.596439889223955,0.008909911466065285
0.0056,0.9,0.999,3,3.6008309788129265,0.005306412403490994
0.004,0.9,0.99,3,3.6031394418762224,0.005687114045192816
0.004,0.9,0.999,3,3.603680462265903,0.003882814636405223
0.004,0.9,0.98,3,3.6111851828945,0.0035095166663397094
0.0056,0.9,0.95,3,3.621841315861235,0.006250261806389193
0.008,0.9,0.95,3,3.6244921361815248,0.015673988657317086
0.0024,0.9,0.999,3,3.6258981992508073,0.00152851506374217
0.008,0.9,0.99,3,3.629706213930065,0.022798424179150078
0.008,0.9,0.98,3,3.638587110262973,0.031524556643284886
0.004,0.9,0.95,3,3.6388924945556966,0.008257383930145492
0.0024,0.9,0.99,3,3.6389422356284813,0.004436610950794445
0.0024,0.9,0.98,3,3.6456629015082007,0.002731598968442812
0.0024,0.9,0.95,3,3.669128621713515,0.0030972762568210878
0.0112,0.9,0.95,3,3.703247284623125,0.0390321082665514
0.0112,0.9,0.98,3,3.712830342886353,0.029932725744775613
0.0112,0.9,0.99,3,3.7650670710456904,0.038261278838883875
0.016,0.9,0.95,3,3.82370882088893,0.0019214864614147983
0.008,0.9,0.999,3,3.8474196286957025,0.1449144563066415
0.016,0.9,0.98,3,3.905098527833209,0.0160805454035981
0.0112,0.9,0.999,3,4.06518690861453,0.12745961762533253
0.016,0.9,0.99,3,4.091881343527775,0.07468709335674455
0.016,0.9,0.999,3,4.49588235715527,0.047780123217462715
