index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
19,packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.99-seed43,2341796_19,0.0056,0.925,0.99,43,3.6026649500038346,432.6500641060993,303.71162316633854,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.99-seed43
20,packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.99-seed44,2341796_20,0.0056,0.925,0.99,44,3.734507387241229,480.19817316904664,337.37794728856534,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.99-seed44
21,packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed42,2341796_21,0.0056,0.925,0.999,42,3.795776454325076,441.3754133519833,314.677546095103,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed42
22,packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed43,2341796_22,0.0056,0.925,0.999,43,3.6762541661315162,434.25282369198976,308.99419248398044,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed43
23,packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed44,2341796_23,0.0056,0.925,0.999,44,3.7722914746241405,441.02466613287106,305.2977679509204,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.925-beta2-0.999-seed44
24,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed42,2341796_24,0.0056,0.95,0.95,42,3.7223633672213796,427.29249458096456,301.66019759199116,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed42
25,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed43,2341796_25,0.0056,0.95,0.95,43,3.7944598793912823,428.2168874689378,303.4665721289348,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed43
26,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed44,2341796_26,0.0056,0.95,0.95,44,3.754601975279163,431.0560344008263,305.7498620953411,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.95-seed44
27,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed42,2341796_27,0.0056,0.95,0.98,42,3.7678418230291726,442.03565672109835,305.21319695957936,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed42
28,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed43,2341796_28,0.0056,0.95,0.98,43,3.811624598304415,437.2916442010319,307.5142352062976,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed43
29,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed44,2341796_29,0.0056,0.95,0.98,44,3.7102813922194717,439.32841622596607,308.4895338213537,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.98-seed44
30,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.99-seed42,2341796_30,0.0056,0.95,0.99,42,3.820600093294917,426.31997713493183,301.9396608736133,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.99-seed42
31,packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.99-seed43,2341796_31,0.0056,0.95,0.99,43,3.8045618501090837,428.1789347040467,302.6965119673405,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.95-beta2-0.99-seed43
