lr,beta1,beta2,seed,unclipped_loss,clipped_loss,clipped_evidence,difference,unclipped_directory,clipped_directory
0.008,0.9,0.99,42,3.811367647569368,3.615880949827964,original_files_reaudited,0.19548669774140404,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.008-beta2-0.99-seed42
0.008,0.9,0.99,43,3.8393379083715233,3.609831246202854,original_files_reaudited,0.22950666216866944,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.008-beta2-0.99-seed43
0.008,0.9,0.99,44,3.6927778310695647,3.599069250491942,original_files_reaudited,0.09370858057762277,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911/experiments/packed4-awc-lr0.008-beta2-0.99-seed44
0.008,0.9,0.999,42,4.040000007051054,3.7234530852390364,original_files_reaudited,0.3165469218120176,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.999-seed42,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.008-beta2-0.999-seed42
0.008,0.9,0.999,43,3.826106598151257,3.744734024065677,original_files_reaudited,0.08137257408558041,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.999-seed43,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.008-beta2-0.999-seed43
0.008,0.9,0.999,44,3.850089050699714,3.627949880035921,original_files_reaudited,0.22213917066379274,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.9-beta2-0.999-seed44,runs/packed4-20m-batch128k-micro32-20260911/experiments/packed4-lr0.008-beta2-0.999-seed44
0.008,0.925,0.95,42,3.8255722875301377,3.602624317552061,published_per_run_record,0.22294796997807653,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.95-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.95-seed42
0.008,0.925,0.95,43,3.822247937712168,3.6203019706355803,published_per_run_record,0.20194596707658752,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.95-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.95-seed43
0.008,0.925,0.95,44,3.7422580747357643,3.613581604095284,published_per_run_record,0.12867647064048038,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.95-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.95-seed44
0.008,0.925,0.98,42,3.8510466158466286,3.608435405781798,published_per_run_record,0.24261121006483055,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.98-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.98-seed42
