2341796_0|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_1|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_2|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:08
2341796_3|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_4|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_5|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_6|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_7|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_8|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_9|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_10|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:09
2341796_11|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_12|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_13|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:08
2341796_14|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_15|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_16|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:08
2341796_17|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_18|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_19|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_20|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:26:06
2341796_21|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:08
2341796_22|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_23|COMPLETED|0:0|2026-09-12T23:16:12|2026-09-12T23:25:07
2341796_24|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_25|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_26|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_27|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:52
2341796_28|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:49
2341796_29|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:48
2341796_30|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_31|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_32|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_33|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_34|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_35|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_36|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_37|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_38|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_39|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_40|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_41|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_42|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_43|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:46
2341796_44|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_45|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_46|COMPLETED|0:0|2026-09-12T23:25:17|2026-09-12T23:33:47
2341796_47|COMPLETED|0:0|2026-09-12T23:26:18|2026-09-12T23:34:46
2341796_48|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_49|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_50|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_51|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_52|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_53|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:41
2341796_54|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_55|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_56|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_57|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_58|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_59|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_60|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_61|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_62|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_63|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_64|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_65|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_66|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_67|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_68|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_69|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_70|COMPLETED|0:0|2026-09-12T23:33:53|2026-09-12T23:42:16
2341796_71|COMPLETED|0:0|2026-09-12T23:34:54|2026-09-12T23:43:31
2341796_72|COMPLETED|0:0|2026-09-12T23:42:34|2026-09-12T23:51:53
2341796_73|COMPLETED|0:0|2026-09-12T23:42:34|2026-09-12T23:51:52
2341796_74|COMPLETED|0:0|2026-09-12T23:42:34|2026-09-12T23:51:52
2341796_75|COMPLETED|0:0|2026-09-12T23:47:20|2026-09-12T23:56:01
2341796_76|COMPLETED|0:0|2026-09-12T23:47:20|2026-09-12T23:56:00
2341796_77|COMPLETED|0:0|2026-09-12T23:47:20|2026-09-12T23:56:01
2341796_78|COMPLETED|0:0|2026-09-12T23:47:20|2026-09-12T23:56:01
2341796_79|COMPLETED|0:0|2026-09-12T23:47:53|2026-09-12T23:56:35
2341796_80|COMPLETED|0:0|2026-09-12T23:47:53|2026-09-12T23:56:34
2341796_81|COMPLETED|0:0|2026-09-12T23:47:53|2026-09-12T23:56:34
2341796_82|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:43
2341796_83|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:36
2341796_84|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:40
2341796_85|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:01
2341796_86|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:35
2341796_87|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:36
2341796_88|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:42
2341796_89|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:43
2341796_90|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:42
2341796_91|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:38
2341796_92|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:38
2341796_93|COMPLETED|0:0|2026-09-12T23:48:26|2026-09-12T23:56:35
2341796_94|COMPLETED|0:0|2026-09-12T23:48:59|2026-09-12T23:57:34
2341796_95|COMPLETED|0:0|2026-09-12T23:48:59|2026-09-12T23:57:34
2341796_96|COMPLETED|0:0|2026-09-12T23:52:05|2026-09-13T00:00:48
2341796_97|COMPLETED|0:0|2026-09-12T23:52:05|2026-09-13T00:00:40
2341796_98|COMPLETED|0:0|2026-09-12T23:52:05|2026-09-13T00:00:28
2341796_99|COMPLETED|0:0|2026-09-12T23:56:01|2026-09-13T00:04:32
2341796_100|COMPLETED|0:0|2026-09-12T23:56:01|2026-09-13T00:04:32
2341796_101|COMPLETED|0:0|2026-09-12T23:56:01|2026-09-13T00:04:32
2341796_102|COMPLETED|0:0|2026-09-12T23:56:01|2026-09-13T00:04:32
2341796_103|COMPLETED|0:0|2026-09-12T23:56:01|2026-09-13T00:04:32
2341796_104|COMPLETED|0:0|2026-09-12T23:56:35|2026-09-13T00:04:32
2341796_105|COMPLETED|0:0|2026-09-12T23:56:35|2026-09-13T00:04:38
2341796_106|COMPLETED|0:0|2026-09-12T23:56:35|2026-09-13T00:04:33
2341796_107|COMPLETED|0:0|2026-09-12T23:56:35|2026-09-13T00:04:33
2341796_108|COMPLETED|0:0|2026-09-12T23:56:35|2026-09-13T00:04:32
2341796_109|COMPLETED|0:0|2026-09-12T23:56:36|2026-09-13T00:04:32
2341796_110|COMPLETED|0:0|2026-09-12T23:56:36|2026-09-13T00:04:32
2341796_111|COMPLETED|0:0|2026-09-12T23:56:39|2026-09-13T00:04:32
2341796_112|COMPLETED|0:0|2026-09-12T23:56:39|2026-09-13T00:04:32
2341796_113|COMPLETED|0:0|2026-09-12T23:56:40|2026-09-13T00:04:32
2341796_114|COMPLETED|0:0|2026-09-12T23:56:42|2026-09-13T00:04:32
2341796_115|COMPLETED|0:0|2026-09-12T23:56:42|2026-09-13T00:04:32
2341796_116|COMPLETED|0:0|2026-09-12T23:56:43|2026-09-13T00:04:32
2341796_117|COMPLETED|0:0|2026-09-12T23:56:43|2026-09-13T00:04:32
2341796_118|COMPLETED|0:0|2026-09-12T23:57:35|2026-09-13T00:06:15
2341796_119|COMPLETED|0:0|2026-09-12T23:57:35|2026-09-13T00:06:15
2341796_120|COMPLETED|0:0|2026-09-13T00:00:29|2026-09-13T00:09:03
2341796_121|COMPLETED|0:0|2026-09-13T00:00:41|2026-09-13T00:09:03
2341796_122|COMPLETED|0:0|2026-09-13T00:00:49|2026-09-13T00:08:14
2341796_123|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_124|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_125|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_126|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_127|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_128|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_129|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_130|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:08
2341796_131|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:17
2341796_132|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_133|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_134|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:09
2341796_135|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_136|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_137|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_138|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:05
2341796_139|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_140|COMPLETED|0:0|2026-09-13T00:04:33|2026-09-13T00:13:04
2341796_141|COMPLETED|0:0|2026-09-13T00:04:38|2026-09-13T00:13:04
2341796_142|COMPLETED|0:0|2026-09-13T00:06:16|2026-09-13T00:14:59
2341796_143|COMPLETED|0:0|2026-09-13T00:06:16|2026-09-13T00:14:59
2341796_144|COMPLETED|0:0|2026-09-13T00:08:15|2026-09-13T00:16:30
2341796_145|COMPLETED|0:0|2026-09-13T00:09:03|2026-09-13T00:17:37
2341796_146|COMPLETED|0:0|2026-09-13T00:09:03|2026-09-13T00:17:37
2341796_147|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_148|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_149|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_150|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_151|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_152|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_153|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:29
2341796_154|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_155|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_156|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_157|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_158|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_159|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_160|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_161|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:29
2341796_162|COMPLETED|0:0|2026-09-13T00:13:05|2026-09-13T00:21:30
2341796_163|COMPLETED|0:0|2026-09-13T00:13:09|2026-09-13T00:21:30
2341796_164|COMPLETED|0:0|2026-09-13T00:13:09|2026-09-13T00:21:30
2341796_165|COMPLETED|0:0|2026-09-13T00:13:18|2026-09-13T00:21:30
2341796_166|COMPLETED|0:0|2026-09-13T00:14:59|2026-09-13T00:22:05
2341796_167|COMPLETED|0:0|2026-09-13T00:14:59|2026-09-13T00:23:16
2341796_168|COMPLETED|0:0|2026-09-13T00:16:31|2026-09-13T00:24:44
2341796_169|COMPLETED|0:0|2026-09-13T00:17:38|2026-09-13T00:25:43
2341796_170|COMPLETED|0:0|2026-09-13T00:17:38|2026-09-13T00:25:57
2341796_171|COMPLETED|0:0|2026-09-13T00:21:30|2026-09-13T00:30:07
2341796_172|COMPLETED|0:0|2026-09-13T00:21:30|2026-09-13T00:30:07
2341796_173|COMPLETED|0:0|2026-09-13T00:21:30|2026-09-13T00:30:07
2341796_174|COMPLETED|0:0|2026-09-13T00:21:30|2026-09-13T00:30:07
2341796_175|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_176|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_177|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_178|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_179|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_180|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_181|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_182|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:08
2341796_183|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_184|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:12
2341796_185|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:12
2341796_186|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_187|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_188|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_189|COMPLETED|0:0|2026-09-13T00:21:31|2026-09-13T00:30:07
2341796_190|COMPLETED|0:0|2026-09-13T00:22:06|2026-09-13T00:30:07
2341796_191|COMPLETED|0:0|2026-09-13T00:23:16|2026-09-13T00:30:37
2341796_192|COMPLETED|0:0|2026-09-13T00:24:44|2026-09-13T00:33:02
2341796_193|COMPLETED|0:0|2026-09-13T00:25:44|2026-09-13T00:33:48
2341796_194|COMPLETED|0:0|2026-09-13T00:25:58|2026-09-13T00:33:48
2341796_195|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:33
2341796_196|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_197|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_198|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:31
2341796_199|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_200|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_201|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:31
2341796_202|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:47
2341796_203|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:50
2341796_204|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:31
2341796_205|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:32
2341796_206|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_207|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_208|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_209|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_210|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:31
2341796_211|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_212|COMPLETED|0:0|2026-09-13T00:30:08|2026-09-13T00:38:30
2341796_213|COMPLETED|0:0|2026-09-13T00:30:13|2026-09-13T00:38:30
2341796_214|COMPLETED|0:0|2026-09-13T00:30:13|2026-09-13T00:38:30
2341796_215|COMPLETED|0:0|2026-09-13T00:30:38|2026-09-13T00:38:32
2341796_216|COMPLETED|0:0|2026-09-13T00:33:02|2026-09-13T00:41:22
2341796_217|COMPLETED|0:0|2026-09-13T00:33:48|2026-09-13T00:41:22
2341796_218|COMPLETED|0:0|2026-09-13T00:33:48|2026-09-13T00:42:14
2341796_219|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:56
2341796_220|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
2341796_221|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
2341796_222|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
2341796_223|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
2341796_224|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
2341796_225|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:51
2341796_226|COMPLETED|0:0|2026-09-13T00:38:31|2026-09-13T00:46:47
