paired_std,lr,beta1,beta2,unclipped_mean,unclipped_std,clipped_mean,clipped_std,difference_unclipped_minus_clipped
0.006409753951859798,0.0056,0.9,0.95,3.7015101261446137,0.006855782084659055,3.6363591898278917,0.005782197339837242,0.06515093631672197
0.05016926988363274,0.0056,0.9,0.98,3.6684042524763023,0.046502204884922405,3.6061779045611995,0.005627711767953746,0.06222634791510284
0.10036777130212676,0.0056,0.9,0.99,3.708779616471748,0.09957377129691695,3.6043430756377886,0.007428453322739177,0.10443654083395959
0.04681390942440213,0.0056,0.9,0.999,3.6940594519236347,0.05084293801457501,3.6129114400474163,0.004839655175152347,0.08114801187621845
0.020251001771569032,0.008,0.9,0.95,3.763543561095753,0.019251239594170647,3.620824265110116,0.008201448311241323,0.14271929598563693
0.06893023675625978,0.008,0.9,0.98,3.73794520159022,0.07515275158291933,3.6019101966394693,0.006841714099720442,0.1360350049507506
0.07066029304218573,0.008,0.9,0.99,3.781161129003485,0.07780931427272884,3.6082604821742534,0.00851520894437481,0.17290064682923179
0.11834626597238118,0.008,0.9,0.999,3.9053985519673415,0.11718341730189136,3.6987123297802116,0.062198977561497844,0.20668622218712995
0.049491781845126,0.008,0.925,0.95,3.7966927666593566,0.04717112028604326,3.612169297427642,0.008923049491508711,0.1845234692317148
0.055513088802353686,0.008,0.925,0.98,3.7829217619092184,0.05936330760840622,3.6041534492588116,0.0040388555315509925,0.1787683126504067
0.08116289097123673,0.008,0.925,0.99,3.6855740543471494,0.07108658668344553,3.6285514328938793,0.045025338552068035,0.057022621453270084
0.12085051751471149,0.008,0.925,0.999,3.935499193879811,0.1261338625264712,3.627432627553983,0.00833438947488974,0.30806656632582774
0.0129352033656174,0.008,0.95,0.95,3.7771130123731758,0.016949957129657172,3.6197698999670687,0.011060181625637312,0.1573431124061071
0.018196018974483048,0.008,0.95,0.98,3.7475829144316393,0.00776101068007542,3.6027938435840263,0.012886724299855516,0.14478907084761294
0.06713296864071794,0.008,0.95,0.99,3.8174650256961353,0.06589491876675456,3.595558571720946,0.00502545693684447,0.22190645397518916
0.10854734927999622,0.008,0.95,0.999,3.935120693458025,0.08681615108509406,3.6410304984629462,0.024591695062812013,0.29409019499507894
0.021325399439141336,0.008,0.975,0.95,4.073853677274112,0.026903000798738794,3.693063704393002,0.006425030446256643,0.38078997288110994
0.025324851672366082,0.008,0.975,0.98,3.985827582701527,0.03533187057728061,3.6629060257370467,0.01009666981045401,0.3229215569644803
0.07772287972914838,0.008,0.975,0.99,3.869753073652526,0.09890354854308232,3.667934352755304,0.021182214385287407,0.2018187208972222
0.2520819060259207,0.008,0.975,0.999,4.260894052150051,0.24742010723257568,3.6734067927007263,0.014273454525728322,0.5874872594493246
0.011421187359173274,0.0112,0.9,0.95,3.7786091404711537,0.02577429472890087,3.6765707864814243,0.019166283484756453,0.10203835398972938
0.044876381916341086,0.0112,0.9,0.98,3.8014801712877264,0.03690102118109426,3.703556888107519,0.03692026645335101,0.09792328318020749
0.052127024994141236,0.0112,0.9,0.99,3.8145644192223354,0.03140297774838076,3.7355412468236486,0.023741125893487248,0.07902317239868673
0.3005221348231648,0.0112,0.9,0.999,4.282083590953966,0.2177914696969937,4.04203187663618,0.138063347351202,0.2400517143177856
0.03962473105005898,0.016,0.9,0.95,3.9005313181481855,0.048257287242199826,3.7989865029288383,0.023771155315347528,0.10154481521934722
0.15988011206414646,0.016,0.9,0.98,3.976378920888092,0.09656649483643472,3.85866048045364,0.06792162388260821,0.11771844043445201
0.14413050138871203,0.016,0.9,0.99,4.093293032188961,0.07133685833225407,4.0934334399660015,0.09677623840253884,-0.00014040777704060758
0.27532546241314976,0.016,0.9,0.999,4.7937916497120305,0.25302553663276406,4.6264823408273505,0.08338557332805668,0.16730930888467999
