epoch,step,category,level,group,numel,pair_count,cosine_valid_pairs,cosine_mean,cosine_std,cosine_min,cosine_max,relative_l2_valid_pairs,relative_l2_mean,relative_l2_std,relative_l2_min,relative_l2_max
1,312,second_moment,aggregate,all,20403520,6,6,0.9943732619285583,0.0010623738635331392,0.993263840675354,0.9966015219688416,6,0.11039934307336807,0.011871175840497017,0.089149110019207,0.12900564074516296
2,624,second_moment,aggregate,all,20403520,6,6,0.9936066269874573,0.001720189698971808,0.9901584982872009,0.9953526258468628,6,0.11585169285535812,0.016283048316836357,0.09773065894842148,0.14853116869926453
3,936,second_moment,aggregate,all,20403520,6,6,0.994891345500946,0.0011901792604476213,0.9927211999893188,0.9962353110313416,6,0.10229265689849854,0.011817348189651966,0.08805380016565323,0.12438537180423737
4,1248,second_moment,aggregate,all,20403520,6,6,0.9957881569862366,0.0009753875783644617,0.99420565366745,0.9969789981842041,6,0.09145963937044144,0.01057237759232521,0.07802402228116989,0.10807187110185623
5,1560,second_moment,aggregate,all,20403520,6,6,0.9968207478523254,0.0004439094627741724,0.996029794216156,0.9972781538963318,6,0.079598069190979,0.005468603689223528,0.07377953827381134,0.08911428600549698
6,1872,second_moment,aggregate,all,20403520,6,6,0.9969274997711182,0.00030469748890027404,0.9966074228286743,0.9973899126052856,6,0.07840291410684586,0.003948958590626717,0.07234864681959152,0.08243254572153091
7,2184,second_moment,aggregate,all,20403520,6,6,0.9975865483283997,0.0006580996559932828,0.9967672228813171,0.9984237551689148,6,0.07120934873819351,0.011368741281330585,0.056245528161525726,0.08483624458312988
8,2496,second_moment,aggregate,all,20403520,6,6,0.9972574710845947,0.0010641305707395077,0.995506763458252,0.9982025027275085,6,0.0784887969493866,0.0161574836820364,0.059959717094898224,0.10353623330593109
9,2808,second_moment,aggregate,all,20403520,6,6,0.9976096153259277,0.0004309781070332974,0.9970323443412781,0.9983050227165222,6,0.07637409120798111,0.010199648328125477,0.059486426413059235,0.087252177298069
10,3120,second_moment,aggregate,all,20403520,6,6,0.9983896613121033,0.00042344440589658916,0.9976553320884705,0.9989480376243591,6,0.06030600145459175,0.009459162130951881,0.05096854642033577,0.07870782911777496
11,3432,second_moment,aggregate,all,20403520,6,6,0.9983845353126526,0.0005690340767614543,0.9975262880325317,0.9989457130432129,6,0.06221982464194298,0.012408643029630184,0.046480074524879456,0.08510736376047134
12,3744,second_moment,aggregate,all,20403520,6,6,0.9981386661529541,0.0005557219265028834,0.9972230195999146,0.9986770749092102,6,0.07187151908874512,0.014888955280184746,0.05358168110251427,0.0992312803864479
13,4056,second_moment,aggregate,all,20403520,6,6,0.9974599480628967,0.0007700377609580755,0.9962966442108154,0.9985535144805908,6,0.08469170331954956,0.023255713284015656,0.05612151324748993,0.11937662214040756
14,4368,second_moment,aggregate,all,20403520,6,6,0.9974220395088196,0.0009667448466643691,0.9958596229553223,0.9986340403556824,6,0.07667557150125504,0.01756344921886921,0.05525406822562218,0.10370265692472458
15,4680,second_moment,aggregate,all,20403520,6,6,0.9982255101203918,0.0005968759651295841,0.9973485469818115,0.9990818500518799,6,0.06077253818511963,0.009165885858237743,0.048530519008636475,0.07355659455060959
16,4992,second_moment,aggregate,all,20403520,6,6,0.998605489730835,0.0005098793772049248,0.9977637529373169,0.9992279410362244,6,0.0575815849006176,0.007885271683335304,0.048823971301317215,0.06932497769594193
17,5304,second_moment,aggregate,all,20403520,6,6,0.9986329674720764,0.0004873203579336405,0.9977823495864868,0.9991689324378967,6,0.05322197079658508,0.009373264387249947,0.04242173954844475,0.06805835664272308
18,5616,second_moment,aggregate,all,20403520,6,6,0.998629093170166,0.0003382590366527438,0.9981769919395447,0.9991762638092041,6,0.06103801354765892,0.012497317045927048,0.04446597024798393,0.08294586837291718
