lr,beta2,seeds,mean_loss,std_loss
0.0056,0.98,3,3.558689018800622,0.004887194781964228
0.004,0.98,3,3.562837392178597,0.0042984892862078395
0.0056,0.95,3,3.565662959720436,0.0024006160042474344
0.004,0.95,3,3.569090904170262,0.0036033200399949003
0.004,0.999,3,3.5762063189151454,0.002682033405679386
0.0028,0.95,3,3.5825669859797458,0.0056210666418579375
0.0028,0.98,3,3.58437814064636,0.0010408551834212893
0.008,0.95,3,3.588826839167296,0.027004008245159798
0.0028,0.999,3,3.594532543170259,0.0023064320331817366
0.0014,0.98,3,3.6272333703260005,0.003093101597314447
0.0014,0.95,3,3.634001458560762,0.005096126602574755
0.0014,0.999,3,3.637238477526756,0.013446798320948198
0.0056,0.999,3,3.6909198726486157,0.10548710814416823
0.008,0.98,3,3.899025615431637,0.14315422280205126
0.0112,0.95,3,4.371981380812587,0.08477615550727768
0.0112,0.98,3,4.554090515461627,0.058824732458561714
0.008,0.999,3,4.672552422670731,0.09044623389363038
0.016,0.95,3,4.705221427566893,0.03234551993431537
0.0224,0.95,3,5.252324581633022,0.37575208005842814
0.0112,0.999,3,5.368668497271259,0.47699647185021654
0.016,0.98,3,5.404749751660877,0.49603527325996233
0.0224,0.98,3,5.603151746920082,0.41485597392131673
0.016,0.999,3,5.785472757118695,0.4185670639329892
0.0224,0.999,3,5.9848178992613565,0.45558485229890044
