index,run_id,lr,beta2,seed,directory,job_id,loss,seconds
40,sync-lr0.008-beta2-0.98-seed43,0.008,0.98,43,experiments/sync-lr0.008-beta2-0.98-seed43,2309171_40,4.022291932838654,409.0824563310016
41,sync-lr0.008-beta2-0.98-seed44,0.008,0.98,44,experiments/sync-lr0.008-beta2-0.98-seed44,2309171_41,3.9327716617507313,410.0246624420397
42,sync-lr0.008-beta2-0.999-seed42,0.008,0.999,42,experiments/sync-lr0.008-beta2-0.999-seed42,2309171_42,4.775959981304514,416.2145760949934
43,sync-lr0.008-beta2-0.999-seed43,0.008,0.999,43,experiments/sync-lr0.008-beta2-0.999-seed43,2309171_43,4.633524559044304,403.642987213796
44,sync-lr0.008-beta2-0.999-seed44,0.008,0.999,44,experiments/sync-lr0.008-beta2-0.999-seed44,2309171_44,4.608172727663375,404.197563390946
45,sync-lr0.0112-beta2-0.95-seed42,0.0112,0.95,42,experiments/sync-lr0.0112-beta2-0.95-seed42,2309171_45,4.382821600001977,415.6191476449603
46,sync-lr0.0112-beta2-0.95-seed43,0.0112,0.95,43,experiments/sync-lr0.0112-beta2-0.95-seed43,2309171_46,4.282306515989841,400.5160363580799
47,sync-lr0.0112-beta2-0.95-seed44,0.0112,0.95,44,experiments/sync-lr0.0112-beta2-0.95-seed44,2309171_47,4.450816026445941,400.8488117000088
48,sync-lr0.0112-beta2-0.98-seed42,0.0112,0.98,42,experiments/sync-lr0.0112-beta2-0.98-seed42,2309171_48,4.608426368864175,404.352907413966
49,sync-lr0.0112-beta2-0.98-seed43,0.0112,0.98,43,experiments/sync-lr0.0112-beta2-0.98-seed43,2309171_49,4.491623007670998,404.00524656602647
50,sync-lr0.0112-beta2-0.98-seed44,0.0112,0.98,44,experiments/sync-lr0.0112-beta2-0.98-seed44,2309171_50,4.562222169849707,408.264430655865
51,sync-lr0.0112-beta2-0.999-seed42,0.0112,0.999,42,experiments/sync-lr0.0112-beta2-0.999-seed42,2309171_51,5.915986905387606,413.2238289571833
52,sync-lr0.0112-beta2-0.999-seed43,0.0112,0.999,43,experiments/sync-lr0.0112-beta2-0.999-seed43,2309171_52,5.148465389781165,416.7875842710491
53,sync-lr0.0112-beta2-0.999-seed44,0.0112,0.999,44,experiments/sync-lr0.0112-beta2-0.999-seed44,2309171_53,5.041553196645007,418.9129877560772
54,sync-lr0.016-beta2-0.95-seed42,0.016,0.95,42,experiments/sync-lr0.016-beta2-0.95-seed42,2309171_54,4.721448523874784,403.98425430292264
55,sync-lr0.016-beta2-0.95-seed43,0.016,0.95,43,experiments/sync-lr0.016-beta2-0.95-seed43,2309171_55,4.726241085018957,409.64015496103093
56,sync-lr0.016-beta2-0.95-seed44,0.016,0.95,44,experiments/sync-lr0.016-beta2-0.95-seed44,2309171_56,4.667974673806938,413.1410101670772
57,sync-lr0.016-beta2-0.98-seed42,0.016,0.98,42,experiments/sync-lr0.016-beta2-0.98-seed42,2309171_57,5.548741163689531,407.0946415789658
58,sync-lr0.016-beta2-0.98-seed43,0.016,0.98,43,experiments/sync-lr0.016-beta2-0.98-seed43,2309171_58,4.852649007905244,403.688740894082
59,sync-lr0.016-beta2-0.98-seed44,0.016,0.98,44,experiments/sync-lr0.016-beta2-0.98-seed44,2309171_59,5.812859083387857,576.1987602770096
60,sync-lr0.016-beta2-0.999-seed42,0.016,0.999,42,experiments/sync-lr0.016-beta2-0.999-seed42,2309171_60,6.081893662571647,412.0697612889344
61,sync-lr0.016-beta2-0.999-seed43,0.016,0.999,43,experiments/sync-lr0.016-beta2-0.999-seed43,2309171_61,5.306657748892265,407.9301355360076
62,sync-lr0.016-beta2-0.999-seed44,0.016,0.999,44,experiments/sync-lr0.016-beta2-0.999-seed44,2309171_62,5.9678668598921725,409.5850466840202
63,sync-lr0.0224-beta2-0.95-seed42,0.0224,0.95,42,experiments/sync-lr0.0224-beta2-0.95-seed42,2309171_63,5.147090416398743,407.9217443600064
64,sync-lr0.0224-beta2-0.95-seed43,0.0224,0.95,43,experiments/sync-lr0.0224-beta2-0.95-seed43,2309171_64,4.940409150585305,405.0149166909978
65,sync-lr0.0224-beta2-0.95-seed44,0.0224,0.95,44,experiments/sync-lr0.0224-beta2-0.95-seed44,2309171_65,5.669474177915018,412.4399669090053
66,sync-lr0.0224-beta2-0.98-seed42,0.0224,0.98,42,experiments/sync-lr0.0224-beta2-0.98-seed42,2309171_66,5.127341423999677,412.70743778091855
67,sync-lr0.0224-beta2-0.98-seed43,0.0224,0.98,43,experiments/sync-lr0.0224-beta2-0.98-seed43,2309171_67,5.889107730953773,409.7377273909515
68,sync-lr0.0224-beta2-0.98-seed44,0.0224,0.98,44,experiments/sync-lr0.0224-beta2-0.98-seed44,2309171_68,5.793006085806796,404.9852296030149
69,sync-lr0.0224-beta2-0.999-seed42,0.0224,0.999,42,experiments/sync-lr0.0224-beta2-0.999-seed42,2309171_69,6.292228662050512,404.68028054898605
70,sync-lr0.0224-beta2-0.999-seed43,0.0224,0.999,43,experiments/sync-lr0.0224-beta2-0.999-seed43,2309171_70,6.200817163273424,407.8594408920035
71,sync-lr0.0224-beta2-0.999-seed44,0.0224,0.999,44,experiments/sync-lr0.0224-beta2-0.999-seed44,2309171_71,5.461407872460134,408.6558513229247
