id,method,horizon,steady,training,elapsed,validationSeconds,sessionSeconds,peakGiB,jobId,measurementDate,artifacts
awc8-cosine-h20--0.013--0.95--0.999--s42,awc8,20,1555052.6514788975,1367129.7706265878,1269750.1995935112,100.65759835199992,422.0713576339999,42.29233980178833,2580835,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-1419bd97389161cbaea17ae6d9c90dbcefef35b69ad27285385d258c55a0a9d0.json""}"
awc8-cosine-h20--0.013--0.95--0.999--s43,awc8,20,1483805.1657566314,1275857.0595684273,1191587.3783985209,101.31460903600009,444.44386418700014,42.29233980178833,2580836,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-134df8b9b5ffe7bd2f972e31f73cab96b49f219ddd1c2500ac8925392480d711.json""}"
awc8-cosine-h20--0.013--0.95--0.999--s44,awc8,20,1508525.196630139,1292040.8593351415,1204289.6081484968,103.5806210419978,442.6591625930014,42.29233980178833,2580837,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.95-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-282f3df95f5c4c870dca45fc8e68df0adb56d00d95c98fb6d27e8b3bb6e72207.json""}"
awc8-cosine-h20--0.013--0.974--0.99--s42,awc8,20,1521903.7774574847,1303115.1418708537,1214899.3194326512,101.90780239898595,438.43335050999303,42.29233980178833,2580841,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-a51e57d50721b1a0ee7022f742eaf811e63ddf98b9ffdc9091c7287295cea8fd.json""}"
awc8-cosine-h20--0.013--0.974--0.99--s43,awc8,20,1535958.585539577,1313978.3158470183,1223918.3201971923,100.97604123002384,435.0438256939815,42.29233980178833,2580842,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-c785901ca27e1d1280a7a38f86298dd584ba4ff989bb4849527d7c42bd533c6f.json""}"
awc8-cosine-h20--0.013--0.974--0.99--s44,awc8,20,1488467.2498046379,1278922.0559434125,1193862.9141346386,100.82222424598876,443.3150929399999,42.29233980178833,2580843,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-5ecc6b095b04544010eb42fd2f7e9528fff1be6e23313866c70abe7839f51e46.json""}"
awc8-cosine-h20--0.013--0.974--0.999--s42,awc8,20,1517879.6845140657,1290330.2460518014,1203760.8865971705,101.59029675199997,441.0668790579999,42.29233980178833,2580847,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-f08e4feeb8cc250dc5d5244b16b393a2a7951273526035a73ef74c00ad568118.json""}"
awc8-cosine-h20--0.013--0.974--0.999--s43,awc8,20,1548459.9196943594,1311842.278313306,1222760.291361583,100.69151219099876,435.068374533992,42.29233980178833,2580848,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-ef409f21bf3be05e0683b9eed7c5dc4c31432bf4713ee648d3cc0caa353332f5.json""}"
awc8-cosine-h20--0.013--0.974--0.999--s44,awc8,20,1560991.35451738,1320554.4680819593,1230409.0454620176,100.5256185909966,432.828391447023,42.29233980178833,2580849,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.013-b1-0.974-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-55b68eb2821616cad4429d7a22875a78879eef1614e83c37caa929e7260f76ab.json""}"
awc8-cosine-h20--0.014--0.9--0.99--s42,awc8,20,1513491.4566782217,1292404.2210502054,1204928.6720650673,102.70800127400435,442.0037276080111,42.29233980178833,2580819,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-a1691fbe1670c9a8a1a8d171bd5427dc57bdbe97fc9f5f2d0c18142afdf248c4.json""}"
awc8-cosine-h20--0.014--0.9--0.99--s43,awc8,20,1548129.0922534731,1317644.5508366334,1227995.8511722283,100.49618129301234,433.40652311602025,42.29233980178833,2580821,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-1402954b072109fc3bd4f460c4a8316254e88322092d21b6c910bebcfb70c49d.json""}"
awc8-cosine-h20--0.014--0.9--0.99--s44,awc8,20,1528886.6041568595,1304460.3052605256,1217089.2374374932,99.00928378400567,434.88788693099923,42.29233980178833,2580822,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-d4d8a7d30cd6f84c3c0b877e78a5eade5056a25ae15aaa1ba169e8403a2cad55.json""}"
awc8-cosine-h20--0.014--0.9--0.999--s42,awc8,20,1512032.7257435592,1298394.9391882622,1212141.7409078265,99.443188427,436.39738302499995,42.29233980178833,2580826,2026-09-17,"{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.9-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-9240b21b25141777d3d12c08da7bc0e0da552c0b1292df15fecc5faf90af6a62.json""}"
